example_id                                                      | status | run_time        |
./spec/bali/form_builder/search_fields_spec.rb[1:1:3]           | passed | 0.00287 seconds |
./spec/bali/form_builder/search_fields_spec.rb[1:1:4]           | passed | 0.00295 seconds |
./spec/bali/form_builder/select_fields_spec.rb[1:1:1]           | passed | 0.00442 seconds |
./spec/bali/form_builder/select_fields_spec.rb[1:1:2]           | passed | 0.003 seconds   |
./spec/bali/form_builder/select_fields_spec.rb[1:1:3]           | passed | 0.0036 seconds  |
./spec/bali/form_builder/select_fields_spec.rb[1:2:1]           | passed | 0.0022 seconds  |
./spec/bali/form_builder/select_fields_spec.rb[1:2:2]           | passed | 0.00287 seconds |
./spec/bali/form_builder/slim_select_fields_spec.rb[1:1:1]      | passed | 0.00282 seconds |
./spec/bali/form_builder/slim_select_fields_spec.rb[1:1:2]      | passed | 0.00264 seconds |
./spec/bali/form_builder/slim_select_fields_spec.rb[1:1:3]      | passed | 0.00256 seconds |
./spec/bali/form_builder/slim_select_fields_spec.rb[1:1:4]      | passed | 0.00326 seconds |
./spec/bali/form_builder/slim_select_fields_spec.rb[1:2:1]      | passed | 0.00198 seconds |
./spec/bali/form_builder/slim_select_fields_spec.rb[1:2:2]      | passed | 0.00205 seconds |
./spec/bali/form_builder/slim_select_fields_spec.rb[1:2:3]      | passed | 0.0029 seconds  |
./spec/bali/form_builder/step_number_fields_spec.rb[1:1:1]      | passed | 0.0032 seconds  |
./spec/bali/form_builder/step_number_fields_spec.rb[1:1:2]      | passed | 0.00289 seconds |
./spec/bali/form_builder/step_number_fields_spec.rb[1:1:3]      | passed | 0.00267 seconds |
./spec/bali/form_builder/step_number_fields_spec.rb[1:2:1]      | passed | 0.00251 seconds |
./spec/bali/form_builder/step_number_fields_spec.rb[1:2:2]      | passed | 0.00301 seconds |
./spec/bali/form_builder/step_number_fields_spec.rb[1:2:3]      | passed | 0.00362 seconds |
./spec/bali/form_builder/step_number_fields_spec.rb[1:2:4]      | passed | 0.00299 seconds |
./spec/bali/form_builder/submit_buttons_spec.rb[1:1:1]          | passed | 0.00187 seconds |
./spec/bali/form_builder/submit_buttons_spec.rb[1:1:2]          | passed | 0.00195 seconds |
./spec/bali/form_builder/submit_buttons_spec.rb[1:2:1]          | passed | 0.00209 seconds |
./spec/bali/form_builder/submit_buttons_spec.rb[1:2:2:1]        | passed | 0.00234 seconds |
./spec/bali/form_builder/submit_buttons_spec.rb[1:2:3]          | passed | 0.00196 seconds |
./spec/bali/form_builder/switch_fields_spec.rb[1:1:1]           | passed | 0.00236 seconds |
./spec/bali/form_builder/switch_fields_spec.rb[1:1:2]           | passed | 0.00213 seconds |
./spec/bali/form_builder/switch_fields_spec.rb[1:1:3]           | passed | 0.00232 seconds |
./spec/bali/form_builder/switch_fields_spec.rb[1:1:4]           | passed | 0.00287 seconds |
./spec/bali/form_builder/switch_fields_spec.rb[1:1:5]           | passed | 0.0022 seconds  |
./spec/bali/form_builder/switch_fields_spec.rb[1:2:1]           | passed | 0.00214 seconds |
./spec/bali/form_builder/switch_fields_spec.rb[1:2:2]           | passed | 0.00263 seconds |
./spec/bali/form_builder/switch_fields_spec.rb[1:2:3]           | passed | 0.00228 seconds |
./spec/bali/form_builder/text_area_fields_spec.rb[1:1:1]        | passed | 0.00344 seconds |
./spec/bali/form_builder/text_area_fields_spec.rb[1:1:2]        | passed | 0.00246 seconds |
./spec/bali/form_builder/text_area_fields_spec.rb[1:1:3]        | passed | 0.00238 seconds |
./spec/bali/form_builder/text_area_fields_spec.rb[1:2:1]        | passed | 0.00196 seconds |
./spec/bali/form_builder/text_area_fields_spec.rb[1:2:2]        | passed | 0.00202 seconds |
./spec/bali/form_builder/text_fields_spec.rb[1:1:1]             | passed | 0.0026 seconds  |
./spec/bali/form_builder/text_fields_spec.rb[1:1:2]             | passed | 0.00225 seconds |
./spec/bali/form_builder/text_fields_spec.rb[1:1:3]             | passed | 0.0024 seconds  |
./spec/bali/form_builder/text_fields_spec.rb[1:2:1]             | passed | 0.00201 seconds |
./spec/bali/form_builder/text_fields_spec.rb[1:2:2]             | passed | 0.00191 seconds |
./spec/bali/form_builder/time_fields_spec.rb[1:1:1]             | passed | 0.00254 seconds |
./spec/bali/form_builder/time_fields_spec.rb[1:1:2]             | passed | 0.00284 seconds |
./spec/bali/form_builder/time_fields_spec.rb[1:1:3]             | passed | 0.00324 seconds |
./spec/bali/form_builder/time_fields_spec.rb[1:2:1]             | passed | 0.00247 seconds |
./spec/bali/form_builder/time_fields_spec.rb[1:2:2]             | passed | 0.00215 seconds |
./spec/bali/form_builder/time_fields_spec.rb[1:2:3]             | passed | 0.00213 seconds |
./spec/bali/form_builder/time_fields_spec.rb[1:2:4]             | passed | 0.00212 seconds |
./spec/bali/form_builder/time_fields_spec.rb[1:2:5]             | passed | 0.00221 seconds |
./spec/bali/form_builder/time_fields_spec.rb[1:2:6]             | passed | 0.00234 seconds |
./spec/bali/form_builder/time_fields_spec.rb[1:2:7]             | passed | 0.00259 seconds |
